# 
# simt, lat, lon
66.00000000,51.71874639,5.72220974
66.50000000,51.71903085,5.72092988
67.00000000,51.71932435,5.71965534
67.50000000,51.71962685,5.71838628
68.00000000,51.71993830,5.71712288
68.50000000,51.72025867,5.71586529
69.00000000,51.72058792,5.71461368
69.50000000,51.72092600,5.71336821
70.00000000,51.72127287,5.71212904
70.50000000,51.72162849,5.71089635
71.00000000,51.72199280,5.70967027
71.50000000,51.72236576,5.70845099
72.00000000,51.72274733,5.70723864
72.50000000,51.72313744,5.70603341
73.00000000,51.72353606,5.70483543
73.50000000,51.72394313,5.70364487
74.00000000,51.72435859,5.70246188
74.50000000,51.72478239,5.70128661
75.00000000,51.72521448,5.70011923
75.50000000,51.72565480,5.69895987
76.00000000,51.72610329,5.69780870
76.50000000,51.72655990,5.69666586
77.00000000,51.72702456,5.69553150
77.50000000,51.72749722,5.69440577
78.00000000,51.72797780,5.69328882
78.50000000,51.72846626,5.69218079
79.00000000,51.72896252,5.69108182
79.50000000,51.72946653,5.68999207
80.00000000,51.72997821,5.68891166
80.50000000,51.73049749,5.68784075
81.00000000,51.73102432,5.68677947
81.50000000,51.73155862,5.68572797
82.00000000,51.73210033,5.68468637
82.50000000,51.73264936,5.68365481
83.00000000,51.73320566,5.68263344
83.50000000,51.73376914,5.68162237
84.00000000,51.73433974,5.68062175
84.50000000,51.73491738,5.67963171
85.00000000,51.73550198,5.67865236
85.50000000,51.73609347,5.67768385
86.00000000,51.73669177,5.67672630
86.50000000,51.73729681,5.67577983
87.00000000,51.73790850,5.67484457
87.50000000,51.73852676,5.67392064
88.00000000,51.73915152,5.67300815
88.50000000,51.73978269,5.67210724
89.00000000,51.74042019,5.67121801
89.50000000,51.74106393,5.67034058
90.00000000,51.74171384,5.66947507
90.50000000,51.74236983,5.66862160
91.00000000,51.74303181,5.66778026
91.50000000,51.74369970,5.66695118
92.00000000,51.74437340,5.66613445
92.50000000,51.74505284,5.66533020
93.00000000,51.74573678,5.66453594
93.50000000,51.74642108,5.66374248
94.00000000,51.74710537,5.66294899
94.50000000,51.74778966,5.66215548
95.00000000,51.74847394,5.66136194
95.50000000,51.74915822,5.66056838
96.00000000,51.74984250,5.65977479
96.50000000,51.75052676,5.65898119
97.00000000,51.75121102,5.65818755
97.50000000,51.75189528,5.65739390
98.00000000,51.75257953,5.65660022
98.50000000,51.75326378,5.65580651
99.00000000,51.75394802,5.65501278
99.50000000,51.75463226,5.65421903
100.00000000,51.75531649,5.65342525
100.50000000,51.75600071,5.65263145
101.00000000,51.75668493,5.65183763
101.50000000,51.75736914,5.65104378
102.00000000,51.75805335,5.65024990
102.50000000,51.75873756,5.64945601
103.00000000,51.75942175,5.64866208
103.50000000,51.76010595,5.64786814
104.00000000,51.76079013,5.64707417
104.50000000,51.76147432,5.64628018
105.00000000,51.76215849,5.64548616
105.50000000,51.76284266,5.64469212
